# T	sdev	V_specific	sdev	sigma=0.8, epsilon=1.2
1.0029e+00	1.0682e-02	1.1101e+00	1.8911e-03
9.9660e-01	5.8081e-03	1.1063e+00	2.7922e-03
9.9159e-01	3.9711e-03	1.1052e+00	4.4961e-04
9.9196e-01	6.9873e-03	1.1071e+00	1.3987e-03
9.7843e-01	7.7742e-03	1.1022e+00	2.7064e-03
9.7288e-01	3.6841e-03	1.1005e+00	1.1819e-03
9.7254e-01	8.3324e-03	1.1014e+00	3.0938e-03
9.6575e-01	3.0289e-03	1.0984e+00	2.0964e-03
9.6014e-01	4.5134e-03	1.0971e+00	2.9207e-03
9.5373e-01	4.8734e-03	1.0938e+00	1.6390e-03
9.5751e-01	2.3846e-03	1.0916e+00	9.4781e-04
9.4728e-01	4.9578e-03	1.0896e+00	1.0527e-03
9.4103e-01	3.7772e-03	1.0892e+00	1.0921e-03
9.2992e-01	8.5922e-03	1.0889e+00	2.2268e-03
9.2671e-01	4.7103e-03	1.0864e+00	6.2598e-04
9.2094e-01	5.3725e-03	1.0860e+00	4.6976e-03
9.2474e-01	4.5781e-03	1.0818e+00	5.4731e-04
9.1810e-01	2.1898e-03	1.0799e+00	2.5414e-03
9.1291e-01	8.5779e-03	1.0798e+00	6.4458e-04
9.0987e-01	3.9565e-03	1.0786e+00	1.2567e-03
9.0560e-01	3.8414e-03	1.0767e+00	1.2623e-03
8.9501e-01	6.5634e-03	1.0747e+00	1.0686e-03
8.8812e-01	3.8380e-03	1.0757e+00	2.2825e-03
8.9163e-01	4.0181e-03	1.0735e+00	2.6435e-03
8.7846e-01	4.2559e-03	1.0707e+00	3.9210e-03
8.6766e-01	9.1022e-04	1.0685e+00	1.7035e-03
8.6093e-01	3.7359e-03	1.0658e+00	3.4164e-03
8.7095e-01	4.1387e-03	1.0674e+00	5.9929e-04
8.5500e-01	3.5696e-03	1.0649e+00	1.6327e-03
8.5037e-01	4.7079e-03	1.0639e+00	1.4825e-03
8.4856e-01	1.1762e-03	1.0608e+00	8.0734e-04
8.4574e-01	5.3958e-03	1.0599e+00	8.0496e-04
8.3458e-01	5.7686e-03	1.0576e+00	1.4711e-03
8.3393e-01	3.8454e-03	1.0567e+00	1.0341e-03
8.2582e-01	2.1092e-03	1.0542e+00	2.9967e-03
8.2724e-01	5.6111e-03	1.0541e+00	5.5237e-04
8.1625e-01	5.5314e-03	1.0506e+00	9.7008e-04
8.1046e-01	8.5876e-04	1.0519e+00	1.8575e-03
8.0496e-01	2.7968e-03	1.0492e+00	3.2627e-03
8.0810e-01	2.1083e-03	1.0484e+00	1.5992e-03
7.9771e-01	2.0074e-03	1.0445e+00	2.9125e-03
7.9285e-01	8.4033e-03	1.0452e+00	1.1971e-03
7.9271e-01	4.4888e-03	1.0426e+00	2.6100e-03
7.8687e-01	5.3693e-03	1.0424e+00	7.7919e-04
